,Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
4119,ENGINEER,79175,4272095696140006,09/31,671,0
3898,ENGINEER,90204,6550322494914657,12/31,450,1
7113,DOCTOR,25450,3509022734958782,08/32,6049,0
7608,ENGINEER,20952,4129955148319224,09/34,799,0
5372,DOCTOR,11517,2271769406316842,06/27,904,0
1370,ENGINEER,46331,4017304184658,08/30,300,0
8924,ENGINEER,45767,6513583508547207,10/25,66,0
3110,ENGINEER,39911,4282002256219962,02/33,208,1
309,DOCTOR,8614,4913110173747,03/27,710,0
4849,DOCTOR,45798,4835743467404,04/30,424,0
7953,ENGINEER,64701,2720379869900277,06/30,942,1
3104,LAWYER,52452,30493330329203,07/32,447,0
9663,ENGINEER,28446,6011356232669721,08/26,9990,1
486,LAWYER,50306,344408592618664,08/29,688,1
7219,LAWYER,23414,4879753930199538,08/31,8487,0
4599,ENGINEER,91752,345108258898175,01/31,706,0
6146,DOCTOR,84767,375452129160560,09/29,961,0
194,LAWYER,79391,5535688979374829,02/25,917,0
6027,ENGINEER,56314,3506349592980001,12/31,560,0
489,ENGINEER,97589,349476049780879,10/30,471,0
7322,ENGINEER,19789,4752522100279343,05/34,356,1
9876,ENGINEER,27530,4857933678747798373,11/30,947,0
5222,LAWYER,75115,4259433171796975,04/29,233,1
886,DOCTOR,52867,213121299541844,04/29,580,0
9794,DOCTOR,19892,3524620715294092,06/27,94,0
2352,DOCTOR,94740,180019891652465,03/30,107,0
1334,DOCTOR,4938,4682620608119052901,07/26,354,1
2728,LAWYER,11993,4054956342207810816,12/26,583,0
1961,ENGINEER,84991,4973508266104956,09/25,660,0
7381,ENGINEER,36765,4031973512410571325,05/31,477,0
79,LAWYER,80677,180039440000560,03/32,607,0
1701,LAWYER,65618,4530728757175689,09/32,51,0
2182,DOCTOR,91501,587252267428,08/32,685,0
5076,DOCTOR,84862,6539490078347986,02/33,4856,1
7720,ENGINEER,34212,376584896771127,07/27,931,0
6911,ENGINEER,70124,4395865402334806389,05/29,502,0
1518,ENGINEER,12206,4682303513094250963,04/29,534,0
3433,DOCTOR,90973,676394314808,01/31,408,1
9124,DOCTOR,17921,676170468422,09/31,797,0
6138,DOCTOR,23729,6576567852932556,01/27,583,0
5627,DOCTOR,88052,4754875375075780,06/33,281,1
3187,LAWYER,24931,3557163097566209,01/25,913,0
4056,ENGINEER,63878,374766217072507,03/28,936,0
4684,DOCTOR,98583,502096711689,07/27,227,0
5585,LAWYER,21764,30074948902464,02/26,478,0
6361,LAWYER,64707,4194897354853621,01/29,70,0
5178,DOCTOR,99081,6011692375435474,03/26,790,0
4514,LAWYER,68162,3532618016007916,04/32,3042,1
9396,LAWYER,93688,36753273831695,04/33,510,0
76,DOCTOR,80642,30512511581041,01/29,323,0
9693,ENGINEER,54969,676387061564,02/30,789,0
8749,DOCTOR,57204,4056804053244372,01/32,513,0
3008,LAWYER,80575,4230768531478309,03/34,166,0
6457,ENGINEER,7654,4166355146213,11/29,888,1
3719,LAWYER,13518,3540668211782383,02/31,359,1
2455,ENGINEER,78363,3546597141492264,08/26,704,0
8334,LAWYER,30133,4472928775748182,12/26,94,0
2376,DOCTOR,14375,344402654893026,10/26,457,0
2006,LAWYER,57423,4327610310560309,01/30,297,0
1689,ENGINEER,32146,4668228899880496824,08/32,987,0
674,ENGINEER,17637,4217561937462531,08/34,337,0
6609,LAWYER,62449,3505141475316382,03/28,5479,0
9252,ENGINEER,78298,6011808058460924,08/26,195,0
6848,DOCTOR,70524,30076531525891,06/26,351,1
6093,DOCTOR,37689,4361591430576,04/33,711,0
2804,LAWYER,34606,4670029851413,05/28,632,1
6030,LAWYER,92693,639083676689,12/28,8134,0
6803,LAWYER,22403,4359991330405399,12/24,423,0
3440,LAWYER,51417,4712529219103,08/26,125,0
9289,LAWYER,60629,4070581166068942338,07/33,927,0
7163,ENGINEER,28390,6011183874478942,02/31,589,0
6828,DOCTOR,85575,6509759904973959,06/34,457,0
2656,LAWYER,44700,6011759968184247,01/31,447,1
5505,LAWYER,89295,4042144738983673,03/25,12,0
6587,LAWYER,19319,5266236341657821,12/24,686,0
7851,ENGINEER,14507,4938910273256,02/32,867,0
5622,ENGINEER,10377,4440397878749,07/26,799,0
6604,ENGINEER,28302,30107991367175,01/34,690,0
4666,ENGINEER,49099,4280244076015744485,11/25,464,0
1307,LAWYER,3816,4011871621009094642,11/25,360,1
8175,LAWYER,18790,4144942780511244,05/31,169,0
731,DOCTOR,15353,213195926583627,06/32,495,1
9976,DOCTOR,35977,4379799506126607196,06/30,43,0
8808,ENGINEER,32542,6547386937164507,11/27,329,0
6385,LAWYER,57356,4530435689849262,08/34,818,0
6099,LAWYER,17103,3584705794914657,09/29,335,0
1505,ENGINEER,77669,2720647751687586,04/30,194,0
9775,ENGINEER,55851,676101068705,10/28,376,0
5959,DOCTOR,26823,4992253611218,07/33,705,0
1517,ENGINEER,65346,6588356233088742,12/28,991,0
8251,LAWYER,50688,6011846127284230,05/29,605,0
4158,LAWYER,71449,4194847113484069,11/32,514,0
3189,LAWYER,13818,2706648045133310,12/32,984,0
6506,LAWYER,90510,4766481078172481,02/28,8403,0
7289,LAWYER,19919,4117083800142,04/33,260,1
2705,LAWYER,92600,30206496866028,01/31,57,0
9703,LAWYER,22934,6519202221287488,11/27,747,1
1,DOCTOR,80334,213134223583196,05/32,858,1
4525,LAWYER,37046,2720363755527873,03/26,542,0
3342,LAWYER,32885,676356702461,08/29,874,1
4184,LAWYER,43790,4129347692203444,02/27,26,0
2184,LAWYER,95032,372723097657479,11/24,852,0
5212,ENGINEER,28287,3541139471697744,01/34,731,0
757,DOCTOR,21212,342116095767100,04/32,278,0
1300,ENGINEER,89726,30542744737441,09/32,482,0
3359,LAWYER,57045,344368232113221,04/34,324,0
1849,DOCTOR,35716,2295770361875444,08/27,276,1
9167,DOCTOR,21212,4241695917894,09/32,169,1
3403,DOCTOR,78296,4283678608235985,12/32,635,0
5718,LAWYER,54439,347593543413385,02/33,797,0
4005,LAWYER,28004,345361524614260,03/27,872,1
3282,LAWYER,11968,6011345260019669,05/30,63,0
6869,ENGINEER,7646,4267591251291165,01/31,920,0
9970,DOCTOR,85660,3543076800597922,12/33,389,0
2057,ENGINEER,60954,676135255211,02/28,641,0
8038,DOCTOR,56072,503851994833,10/26,3013,1
2197,LAWYER,95863,3555828920245500,08/33,254,0
8645,LAWYER,41166,4351307896624,09/29,432,0
269,LAWYER,26531,630466916685,09/34,745,0
1037,DOCTOR,78492,4093202783040,08/29,920,0
6300,DOCTOR,41844,3508154988063455,06/32,429,1
4935,LAWYER,10884,4389026220443354284,05/30,451,1
710,ENGINEER,9938,4522562524865003,09/25,599,0
6423,LAWYER,82021,4212110854516021,04/30,517,0
5003,ENGINEER,89903,4340460416007615781,06/28,334,0
5970,DOCTOR,35592,4712569126348510,01/26,525,0
1606,DOCTOR,90931,343858573359426,04/29,823,0
3223,DOCTOR,44567,180050176311154,10/30,176,0
1716,DOCTOR,50734,4295708711713572,11/30,305,0
6603,LAWYER,9469,639085679459,02/31,49,0
9759,DOCTOR,24235,4994794835670181,03/28,908,1
2516,DOCTOR,49649,3528532816146129,09/26,741,0
464,LAWYER,39147,3506692246952888,08/34,385,1
8746,DOCTOR,33148,2238093895028426,12/33,209,0
9213,ENGINEER,5646,4948095843339596,04/33,980,1
2824,ENGINEER,99936,180019502966635,06/32,139,0
5720,DOCTOR,6119,4801812264890,10/26,965,0
1275,ENGINEER,17204,501882125633,01/28,4583,0
4166,ENGINEER,38372,6011299733876702,03/26,811,1
598,DOCTOR,10399,3587383922832337,09/30,8917,0
8854,DOCTOR,62823,30293428832864,04/27,137,0
1248,LAWYER,81170,6574749361015501,10/25,956,0
543,DOCTOR,25339,180097072828534,06/34,416,0
9633,DOCTOR,40047,503844447063,12/28,701,1
1379,ENGINEER,72773,630401614502,07/27,105,0
3091,DOCTOR,32176,372080688140195,02/25,751,0
6,DOCTOR,54992,348781654665997,06/30,207,0
8170,DOCTOR,3713,4929126896186478,11/31,963,0
7491,LAWYER,8765,3576737984788757,09/32,740,0
862,LAWYER,48170,36055436133393,06/31,367,0
9416,LAWYER,78496,3579056585396333,09/31,262,1
9405,ENGINEER,70619,4009762813498579391,08/34,580,1
6977,DOCTOR,92809,3553977525306019,12/32,150,0
9791,DOCTOR,37944,675940839235,05/32,447,1
466,DOCTOR,32082,676283430236,04/29,352,1
7319,ENGINEER,98078,4874660685930582088,02/32,880,0
8195,DOCTOR,87334,3517738455126065,03/31,249,1
9368,ENGINEER,64738,3506945697069531,04/27,327,1
3092,LAWYER,91986,5151761545213483,01/26,333,1
3357,LAWYER,59192,564986220890,06/28,561,1
5251,ENGINEER,14049,2719756251137571,04/31,777,0
2097,LAWYER,92741,2708047926367022,07/33,8934,0
9927,ENGINEER,7353,2718137176228426,11/28,967,0
8114,ENGINEER,22667,376951623432028,08/30,489,0
2537,ENGINEER,7197,348600509210686,11/24,2950,0
3587,DOCTOR,36252,343513168045290,08/29,546,1
2181,DOCTOR,44647,4246763698556908,10/32,799,1
9945,ENGINEER,50741,348690331685981,05/26,270,0
559,LAWYER,60794,377513641556193,10/26,644,0
9994,DOCTOR,26331,3528897307516985,03/32,796,0
7533,DOCTOR,2487,5596006829041348,04/27,130,0
8833,DOCTOR,90842,3595788757373399,12/33,241,0
7516,DOCTOR,85767,180028931499472,01/34,913,0
4249,ENGINEER,6812,6011384527255816,07/25,218,1
9020,DOCTOR,59303,6598394646721425,09/25,231,0
6386,ENGINEER,84159,502032459856,06/32,386,0
5585,LAWYER,21764,30074948902464,02/26,478,0
8009,ENGINEER,88941,349981342594588,10/25,986,0
2556,DOCTOR,97589,4448919216364102,11/29,806,0
5258,DOCTOR,27239,4706277642415601,07/31,727,0
4477,ENGINEER,34974,4507108657201833090,07/28,793,1
7919,LAWYER,60732,4939335312773888,01/25,442,1
2503,DOCTOR,52470,3519912576193134,02/26,101,1
3931,DOCTOR,1686,5548576639282331,02/34,758,0
7955,ENGINEER,79813,501881263724,12/29,508,0
4576,DOCTOR,96355,4217712251335,12/33,954,0
4199,LAWYER,39447,4253632383049,11/26,193,0
3602,LAWYER,67881,4688788976012600,08/31,833,1
2730,DOCTOR,91780,503856369619,06/33,60,0
4533,ENGINEER,90787,340173346519204,05/25,369,1
9966,LAWYER,35065,4778787624125154560,07/30,480,1
9221,ENGINEER,19329,4041419123479102,07/32,447,0
6828,DOCTOR,85575,6509759904973959,06/34,457,0
4780,DOCTOR,17557,4108169017591658,12/30,41,0
7153,DOCTOR,21451,6011500298550776,10/27,844,0
9706,LAWYER,86066,4790745933277,10/30,3385,0
8587,DOCTOR,94473,4158953068261,01/34,537,0
7752,ENGINEER,79794,5586813187574907,04/27,303,0
508,LAWYER,32178,4344345523896,06/29,679,0
5323,DOCTOR,20718,180012383027684,07/25,336,0
2971,ENGINEER,43754,2272215762230747,11/31,921,0
4285,DOCTOR,40122,36407850395943,04/26,130,0
1224,DOCTOR,57858,4023543086019,05/29,842,0
3501,LAWYER,87046,2223002831916690,08/29,844,1
4428,DOCTOR,70124,4400875666011258694,09/26,599,1
9325,ENGINEER,79894,4543436004637506974,01/31,539,0
6060,ENGINEER,93152,3503614495455135,07/29,89,0
7544,ENGINEER,27447,4206569170568601234,03/26,1572,0
9519,LAWYER,64855,3579672092871392,08/26,785,1
9232,LAWYER,96212,213109219917335,08/29,121,0
1660,ENGINEER,78618,2280403615671925,12/24,125,0
280,DOCTOR,3122,4836962143759,07/25,466,0
5424,DOCTOR,79127,180034605813048,12/31,649,1
805,LAWYER,72105,676389072270,04/32,568,1
1708,LAWYER,10764,213155307057674,06/32,597,0
4838,ENGINEER,15378,4653157199170325,10/32,769,0
5965,DOCTOR,72337,4195800644805010098,06/26,112,1
2834,LAWYER,62544,3507407681960273,07/27,533,1
9496,DOCTOR,95481,341891319213088,03/34,986,1
4931,LAWYER,51959,4953978611131,04/34,94,0
259,DOCTOR,83226,4408945858877,05/27,818,1
7834,DOCTOR,16931,348305983932264,05/34,49,1
8492,LAWYER,78872,344824488229194,07/34,845,0
830,DOCTOR,5166,180001176025625,12/31,1974,0
4349,DOCTOR,90285,6011560151543250,06/25,590,1
9711,DOCTOR,39391,30451153614333,12/32,4,0
9837,LAWYER,63900,213183061326317,06/34,46,1
5221,ENGINEER,84990,4423069997134628,01/34,954,0
9544,DOCTOR,93670,2423533764914672,06/31,161,0
2746,LAWYER,29740,3539441625679337,12/30,420,0
8832,DOCTOR,66411,4971658700301228662,09/27,314,0
3503,DOCTOR,11045,3530571364577950,09/29,849,0
9950,ENGINEER,43456,378139813887247,04/26,921,0
5723,DOCTOR,55640,4565385992629265,04/25,647,0
6588,ENGINEER,6305,2298190038625204,12/30,59,0
8268,LAWYER,389,3506588151033674,12/32,998,0
2382,DOCTOR,43132,6558521887409421,06/28,722,0
3793,ENGINEER,31680,3546887296576205,04/25,14,1
9522,DOCTOR,54934,6507272357749670,08/29,950,0
2132,LAWYER,72895,30339777840618,10/31,4613,0
9898,DOCTOR,28281,5171642565471555,01/29,624,0
1015,LAWYER,79652,2720865779629253,03/30,58,1
598,DOCTOR,10399,3587383922832337,09/30,8917,0
6239,ENGINEER,41543,675969165991,10/25,787,1
4550,LAWYER,2448,6571298776650067,02/28,684,0
7262,ENGINEER,35296,213169990837672,06/27,813,0
1601,ENGINEER,71053,565856945995,04/30,139,0
3612,ENGINEER,31322,2681465123862788,05/34,440,0
1965,LAWYER,46242,38112966856170,06/28,71,0
9603,ENGINEER,91664,630426142836,10/34,997,1
1642,ENGINEER,2473,3509180140250184,10/33,872,1
4641,LAWYER,43803,3534296071293909,04/32,426,0
7205,ENGINEER,91440,4921195122749977,09/30,5653,0
5728,ENGINEER,94676,2269260740716719,08/32,787,1
4689,DOCTOR,85744,30547751588488,05/28,459,0
5193,LAWYER,53745,6011164741226565,04/26,8254,0
532,ENGINEER,37343,3593438461888934,09/32,9953,0
7270,LAWYER,28361,3514093431890977,03/26,732,0
5115,DOCTOR,30974,2547341125774848,08/28,754,0
2922,LAWYER,41476,4668625643994,03/25,1851,0
2672,DOCTOR,99693,4838674153303575,05/27,772,0
7988,DOCTOR,46696,30555294629222,06/33,554,0
3551,ENGINEER,54245,4722671324872685,11/26,506,0
6385,LAWYER,57356,4530435689849262,08/34,818,0
6036,DOCTOR,81597,213128052680891,01/31,293,0
5791,ENGINEER,88869,4899791752995555,02/25,2949,1
6732,ENGINEER,19363,3539755078120097,02/25,108,0
4417,DOCTOR,86128,6506670964957399,10/28,648,0
6816,DOCTOR,75393,3574471295110996,07/32,370,1
4944,LAWYER,91334,4716336845338919087,05/27,379,0
9354,LAWYER,17491,342292379964737,04/28,871,1
4766,ENGINEER,42384,6561276145529891,03/30,908,0
3526,ENGINEER,28126,2285127175793515,10/25,322,0
5423,LAWYER,88380,3562826504776552,02/32,877,0
2372,ENGINEER,23399,3594948669091460,03/26,607,1
8277,ENGINEER,78944,6598409986619706,01/34,759,0
568,DOCTOR,32830,676329775826,01/28,529,0
6768,ENGINEER,17467,639078709248,12/26,109,0
2851,LAWYER,21759,213154368749782,06/30,378,1
9266,DOCTOR,88966,4334270940876,06/26,835,0
9205,ENGINEER,87748,3501916579671152,05/25,297,0
1731,LAWYER,69853,6011933647421938,09/33,583,1
2007,DOCTOR,46655,4782331739507,10/33,592,0
2076,ENGINEER,97597,3513175148999687,07/34,986,1
9755,LAWYER,36711,2221675108051473,01/25,2486,0
8833,DOCTOR,90842,3595788757373399,12/33,241,0
1666,ENGINEER,42129,30547446690913,09/27,803,0
5916,DOCTOR,66584,5196888842905060,05/34,512,0
7366,ENGINEER,4158,2720265525105429,04/32,690,1
2799,DOCTOR,10167,373662586597037,03/33,194,1
8212,LAWYER,62437,6011377930275207,04/28,614,1
2761,DOCTOR,23402,30062575668847,12/33,514,0
2223,DOCTOR,53616,4041193616687,02/27,348,0
3707,LAWYER,87282,4630464792470591,04/31,921,0
6198,DOCTOR,53525,180099897688895,04/27,557,0
4780,DOCTOR,17557,4108169017591658,12/30,41,0
1427,DOCTOR,70546,4416067877229,06/32,724,0
547,DOCTOR,54825,348644263390367,02/33,104,0
3888,DOCTOR,66851,3516531441148793,12/24,93,0
6736,LAWYER,99569,3536067099207694,06/29,897,1
5563,ENGINEER,28461,213168686801398,09/33,859,0
8152,DOCTOR,19249,371804614229884,12/27,552,0
4234,ENGINEER,6437,4468431835805,06/33,4114,1
3315,DOCTOR,33841,342909717711666,12/26,682,0
3668,DOCTOR,28317,2714343587470540,10/29,203,1
9094,ENGINEER,38623,2702076689794391,12/27,250,0
8030,DOCTOR,832,3513286005414676,09/28,3194,1
7894,LAWYER,90083,4514279802779459568,11/25,893,0
1301,ENGINEER,63157,379798166711020,04/33,315,0
586,DOCTOR,22250,4139580628610,02/25,598,0
1067,DOCTOR,92716,4413465018651990,12/33,764,1
3923,LAWYER,54865,213166058250533,03/26,726,1
88,DOCTOR,7181,213176129423852,05/34,628,0
4857,LAWYER,5381,180061696352081,08/27,440,0
4891,DOCTOR,79458,4160307376021165,08/26,210,0
303,ENGINEER,40836,3540762294597493,06/31,196,0
5613,ENGINEER,4304,4565712620192,12/30,104,0
2412,ENGINEER,64421,38390529717606,10/32,142,0
3100,LAWYER,27246,4862331485521841,12/33,300,0
2896,DOCTOR,885,346159799601882,04/29,6400,1
6310,ENGINEER,38203,4597280118108870132,07/30,527,0
3612,ENGINEER,31322,2681465123862788,05/34,440,0
8916,ENGINEER,83397,3589583485814246,03/25,59,0
6967,ENGINEER,34925,3587339512480127,12/31,350,1
3066,LAWYER,6391,4661961815764334002,09/31,227,0
5019,ENGINEER,50179,180099399141765,09/33,269,0
4624,ENGINEER,71509,6525725503600244,04/26,520,0
3483,ENGINEER,66815,4738638192534533,05/28,276,0
9444,LAWYER,38318,6011671652957814,07/33,307,0
8175,LAWYER,18790,4144942780511244,05/31,169,0
6254,ENGINEER,41401,341709226976631,12/25,843,0
1712,ENGINEER,65716,4926672648516549,10/34,416,0
1906,ENGINEER,96760,3541484352895524,10/28,250,1
4148,ENGINEER,89922,6011162223552037,07/27,257,0
1801,DOCTOR,54109,4083401691299668056,11/26,671,1
96,LAWYER,19204,4711633310713188932,05/30,3416,0
6384,DOCTOR,1096,3532865519344458,09/29,717,0
6392,LAWYER,99224,30035811065713,10/27,871,0
3399,ENGINEER,66094,180027498055958,11/33,158,1
7146,ENGINEER,30704,3558278051763532,03/27,73,0
4656,LAWYER,67579,675921298062,07/25,257,0
7322,ENGINEER,19789,4752522100279343,05/34,356,1
7506,DOCTOR,14357,3501968282976352,03/29,240,0
2654,LAWYER,50617,213159261675992,10/29,285,1
8015,LAWYER,94256,675920334173,03/33,609,0
9834,DOCTOR,10150,2706279048897295,05/28,620,0
4470,LAWYER,23315,4829489719237436,06/28,577,1
8780,LAWYER,645,3550900833478133,01/33,548,0
1323,ENGINEER,11482,503844326572,12/31,534,1
4582,ENGINEER,34187,4038592192506149,03/29,884,0
5744,ENGINEER,16721,6011523267128267,12/33,345,0
1978,ENGINEER,87622,30071517530627,12/30,180,0
2532,LAWYER,9165,2717528637617895,10/26,930,0
3000,ENGINEER,44828,4696569631881,10/29,697,0
6452,DOCTOR,88517,377189175281944,03/26,4237,1
386,LAWYER,65765,4289629523609833634,05/26,250,0
6414,ENGINEER,50737,4878125156011978843,01/25,404,0
8971,DOCTOR,35044,213140466876486,12/30,120,0
5649,DOCTOR,20810,4711026291508,11/30,309,0
8310,ENGINEER,90154,180060869519336,08/33,522,0
1771,DOCTOR,26843,4516040843054441221,09/32,973,1
5536,ENGINEER,95764,4873051677647462,04/27,888,0
4848,ENGINEER,98862,6571931386069712,09/28,136,0
226,ENGINEER,88193,180064162026379,09/34,520,1
2595,LAWYER,16608,4721059451930953817,06/31,606,0
8321,DOCTOR,50909,180040460697392,05/25,904,0
809,ENGINEER,60327,30429488424636,09/31,242,0
197,ENGINEER,26615,180052192972316,10/25,3551,1
486,LAWYER,50306,344408592618664,08/29,688,1
3839,DOCTOR,39437,6011357594756353,04/34,6216,0
4372,ENGINEER,32217,2718892594341207,07/26,161,0
7571,LAWYER,32047,3502374950505673,11/32,976,1
3256,DOCTOR,48770,3561820859336931,12/32,816,0
9176,LAWYER,71159,2245901211489570,12/31,449,0
5671,LAWYER,65129,4212127193792,02/30,480,0
8262,LAWYER,3303,3550571568415895,08/28,840,0
216,ENGINEER,84336,2703448668049668,05/33,492,0
7303,ENGINEER,64044,6011939459058577,03/30,512,0
4209,DOCTOR,88203,180039318000874,03/29,673,0
2486,DOCTOR,46498,4944578125524617,09/26,374,0
7768,DOCTOR,50232,3550140277770816,01/32,590,0
2659,ENGINEER,53533,4307661960935691,12/24,162,1
3434,DOCTOR,98334,4433175747858596749,11/33,390,0
9367,ENGINEER,18096,4488454557274588,01/32,705,0
3031,ENGINEER,64794,3580469127674157,12/24,726,0
2724,DOCTOR,44608,6525590407402174,12/28,581,0
8849,DOCTOR,67719,3585275442160169,11/27,908,0
1157,ENGINEER,42244,30483903230714,04/26,865,0
677,ENGINEER,72099,676282674099,03/31,867,1
9811,DOCTOR,53143,4881629324641572,05/34,913,1
8473,ENGINEER,51298,5115487757133921,11/32,72,0
7383,DOCTOR,39213,341794862105588,02/31,176,0
5005,LAWYER,23880,639011964983,05/33,924,0
1755,ENGINEER,93912,4188284618051037,10/28,190,1
5407,LAWYER,66316,676130119503,01/34,805,0
3201,ENGINEER,47174,569304756020,02/25,128,1
1205,ENGINEER,67097,370769472260217,03/31,307,0
4867,ENGINEER,67571,6011234821475158,06/27,553,0
1745,LAWYER,74457,30346263477854,01/26,4786,0
4797,LAWYER,44787,4048994624648077,07/31,673,0
4251,ENGINEER,71600,30565345458133,06/32,608,0
765,ENGINEER,93218,4180641554278772808,09/25,353,1
6361,LAWYER,64707,4194897354853621,01/29,70,0
1557,ENGINEER,79499,676127833181,07/31,2306,0
8693,DOCTOR,79898,6529125326239807,01/28,210,0
7460,DOCTOR,10464,2555259677064534,11/33,596,0
9614,LAWYER,23500,4159645284218909,07/29,410,0
1921,ENGINEER,59696,3552767019876523,06/26,822,0
5091,DOCTOR,13262,2264732769181483,12/31,820,0
770,LAWYER,66352,501895665310,11/24,926,1
5640,ENGINEER,10858,4425074007340619,11/24,441,0
8089,LAWYER,13237,5396875239319664,06/32,389,1
7077,LAWYER,63016,4073029617498,08/25,311,0
3778,ENGINEER,59884,3589352011336367,08/26,239,0
7630,ENGINEER,91286,374070760234147,11/27,222,1
2229,LAWYER,28572,30004922333519,04/27,631,0
9628,LAWYER,13126,502095981051,07/25,6071,1
4153,DOCTOR,5418,5361556762116062,10/29,198,0
2067,ENGINEER,18901,2718584348054679,04/25,539,1
6799,LAWYER,21808,4705505544894627,10/27,209,0
7365,DOCTOR,44103,3507977220242656,10/28,992,0
7309,ENGINEER,98553,6515820320027564,02/33,708,0
3911,DOCTOR,36758,5493668732372054,11/32,8421,0
7270,LAWYER,28361,3514093431890977,03/26,732,0
374,LAWYER,85216,3575287556401836,02/28,232,0
172,ENGINEER,87271,6507961716165020,12/30,631,1
3203,DOCTOR,87736,4638123462859192,02/27,188,1
5351,DOCTOR,79790,5235571787152756,08/26,67,1
9549,ENGINEER,3385,30390448300847,08/32,878,0
1087,ENGINEER,47006,6011600525935368,09/31,272,1
8281,DOCTOR,57177,213151931693497,12/32,355,1
4417,DOCTOR,86128,6506670964957399,10/28,648,0
3987,DOCTOR,43590,3597388339266696,11/32,272,0
5817,LAWYER,80420,6011359181920038,02/25,9246,1
6143,ENGINEER,42218,2615833770239389,07/31,468,0
9363,ENGINEER,83904,4583615931687015424,02/27,966,1
9040,ENGINEER,53291,4185096410915570,06/25,397,0
8707,DOCTOR,42942,3516485164923322,05/25,803,1
296,ENGINEER,83604,6555068312474326,03/27,474,1
4691,ENGINEER,66236,4984869363758339561,05/31,867,0
5794,LAWYER,63674,3509935704898730,06/27,497,1
1747,LAWYER,59193,5284230414483007,07/27,43,0
3923,LAWYER,54865,213166058250533,03/26,726,1
1305,DOCTOR,1423,30033157133435,08/30,780,0
2158,ENGINEER,51506,639055317114,08/27,190,0
1242,ENGINEER,2455,3549898791643462,04/26,11,0
6875,LAWYER,6092,6554647653671268,08/30,607,0
678,LAWYER,99912,3598657750109109,10/29,355,1
6817,DOCTOR,96745,4538635932552389,09/32,652,1
8858,ENGINEER,5110,3528995877712347,08/34,653,0
9532,ENGINEER,32242,676234262076,11/28,685,0
6510,DOCTOR,52629,374398000418836,03/32,834,1
4283,LAWYER,69557,180038616989309,03/29,705,0
1191,LAWYER,25621,4193561273431478,06/28,252,0
2057,ENGINEER,60954,676135255211,02/28,641,0
275,ENGINEER,12194,3591722000716298,05/26,293,0
8600,LAWYER,15112,4039771245974319,10/30,326,0
1689,ENGINEER,32146,4668228899880496824,08/32,987,0
9782,ENGINEER,95102,4506078373653,11/32,421,0
4701,LAWYER,86851,372661196655079,02/32,420,0
1377,DOCTOR,70333,3586240838357000,09/28,8351,1
2741,DOCTOR,99806,4213811903120199,01/26,559,0
2651,LAWYER,67133,30139315204214,07/25,637,1
376,DOCTOR,55428,36731911433058,03/25,300,1
8849,DOCTOR,67719,3585275442160169,11/27,908,0
2158,ENGINEER,51506,639055317114,08/27,190,0
2654,LAWYER,50617,213159261675992,10/29,285,1
1137,LAWYER,20603,6011692352928954,10/30,252,1
7770,DOCTOR,62473,3515663349026200,04/33,706,0
239,DOCTOR,57640,576783453540,11/30,328,0
9142,ENGINEER,14250,4404403114651553044,02/25,9450,1
7352,LAWYER,82622,2705670565078536,09/34,901,1
4941,LAWYER,25055,3532520133069854,02/33,149,0
1621,ENGINEER,63605,4298070123894,09/34,770,0
2965,DOCTOR,13006,4556336357840,05/32,2899,1
5623,ENGINEER,64531,4453159188763013,01/31,948,0
8377,LAWYER,73581,4896562122181,07/27,6510,0
4666,ENGINEER,49099,4280244076015744485,11/25,464,0
7024,ENGINEER,85323,2603760963318601,04/33,4817,1
6943,DOCTOR,57798,3519016487323549,02/31,568,0
3066,LAWYER,6391,4661961815764334002,09/31,227,0
2976,DOCTOR,15198,2720445253079265,08/34,506,0
9949,LAWYER,43369,6011355483130359,09/30,4680,0
1242,ENGINEER,2455,3549898791643462,04/26,11,0
2042,LAWYER,32263,4403479453153,09/33,635,0
4288,LAWYER,47425,30127802588116,02/25,631,1
1684,LAWYER,11524,180070574024050,08/33,241,0
1782,ENGINEER,30378,3542563645351525,06/25,846,1
4908,DOCTOR,58304,4873568766638679999,07/31,939,1
6461,LAWYER,61761,348448311446100,06/32,543,0
2849,LAWYER,46112,6582370744307703,11/31,393,0
2189,LAWYER,38070,4713156568424,12/25,628,1
379,ENGINEER,81260,4955614584903,08/27,541,0
9434,DOCTOR,3955,341788008297051,06/27,715,0
5868,LAWYER,6314,6011139295571715,04/28,311,1
5873,DOCTOR,76121,4894390865402095497,02/30,707,0
852,ENGINEER,66240,377772234567120,11/26,32,0
1224,DOCTOR,57858,4023543086019,05/29,842,0
5245,ENGINEER,38823,4420011839794550,09/26,441,0
5044,DOCTOR,27209,676397048874,10/27,312,1
8669,DOCTOR,6208,213169716140377,08/30,48,0
6857,LAWYER,1872,4209697380602007,02/31,177,1
2392,LAWYER,35552,4893884433533253538,01/26,795,0
4260,DOCTOR,48771,3575065885415945,07/34,738,0
6520,LAWYER,64123,374651848930432,10/31,375,0
7202,LAWYER,75691,3581091613428275,05/33,7056,0
4137,LAWYER,67141,349240854265016,06/29,570,1
9566,DOCTOR,27623,30540311188535,05/28,810,0
3430,DOCTOR,11986,4877032907179,08/31,860,1
4621,DOCTOR,66386,4091780757332379656,06/31,809,0
6168,DOCTOR,97699,376864431025118,03/25,66,1
7380,ENGINEER,53760,4405350392880722,11/32,5219,0
